State,Year,Quarter,Reg_name,Reg_users,App_opening
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,dadra and nagar haveli district,341846,3914753
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,diu district,3830,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,daman district,32651,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,dadra and nagar haveli district,55626,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,diu district,6746,73017
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,daman district,64854,1168620
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,dadra and nagar haveli district,105329,1884552
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,diu district,16665,180045
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,daman district,173219,567477
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,dadra and nagar haveli district,284923,3090359
telangana,2021,3,narayanpet district,123698,12600713
telangana,2021,3,nalgonda district,598288,49183567
telangana,2021,3,jangaon district,202760,19954357
telangana,2021,3,bhadradri kothagudem district,409224,32652497
telangana,2021,3,warangal rural district,227582,16044231
telangana,2021,3,kumuram bheem asifabad district,112005,12374636
telangana,2021,3,nizamabad district,556044,30872892
telangana,2021,3,adilabad district,160401,13550832
telangana,2021,3,rajanna sircilla district,197653,12946883
telangana,2021,3,nagarkurnool district,284427,32443551
telangana,2021,3,peddapalle district,346172,22273221
telangana,2021,3,nirmal district,186080,14516617
telangana,2021,3,mahabubabad district,225821,18716303
telangana,2021,3,sangareddy district,880907,48000652
telangana,2021,3,wanaparthy district,161625,13973770
telangana,2021,3,vikarabad district,257234,21915189
telangana,2021,3,jagtial district,316708,18647662
telangana,2021,3,yadadri bhuvanagiri district,303988,27134768
telangana,2021,3,medak district,220085,16585388
telangana,2021,3,mahbubnagar district,332912,22433630
telangana,2021,3,jaya shankar bhalupally district,136483,13403776
telangana,2021,3,warangal urban district,707591,34485735
telangana,2021,3,rangareddy district,3310906,152255269
telangana,2021,3,hyderabad district,3839513,138904779
telangana,2021,3,suryapet district,369487,26206177
telangana,2021,3,jogulamba gadwal district,174716,15082826
telangana,2021,3,kamareddy district,276848,20064605
telangana,2021,3,mulugu district,82466,10704784
telangana,2021,3,medchal malkajgiri district,2790387,122352691
telangana,2021,3,karimnagar district,524929,27893947
telangana,2021,3,mancherial district,327681,25861713
telangana,2021,3,siddipet district,398010,28683328
telangana,2021,3,khammam district,572647,34808208
telangana,2020,3,narayanpet district,88897,3444383
telangana,2020,3,nalgonda district,435022,18261971
telangana,2020,3,jangaon district,148978,7332319
telangana,2020,3,bhadradri kothagudem district,297785,12289002
telangana,2020,3,warangal rural district,168438,8501734
telangana,2020,3,kumuram bheem asifabad district,79379,2953601
telangana,2020,3,nizamabad district,405678,13663242
telangana,2020,3,adilabad district,114763,3495961
